,Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/G,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper
0,1,Manchester City,ENG,1,37,28,6,3,96,24,72,90,2.43,86.1,26.9,59.3,1.6,W W W W D,52739,Kevin De Bruyne - 15,Ederson
1,2,Liverpool,ENG,2,37,27,8,2,91,25,66,89,2.41,86.1,33.2,52.9,1.43,W W D W W,53367,Mohamed Salah - 22,Alisson
2,3,Bayern Munich,GER,1,34,24,5,5,97,37,60,77,2.26,88.1,37.1,51.0,1.5,W W L D D,33176,Robert Lewandowski - 35,Manuel Neuer
3,4,Real Madrid,ESP,1,38,26,8,4,80,31,49,86,2.26,74.3,47.0,27.3,0.72,W L W D D,41235,Karim Benzema - 27,Thibaut Courtois
4,5,Paris S-G,FRA,1,37,25,8,4,85,36,49,83,2.24,71.6,38.1,33.4,0.9,W D D D W,41188,Kylian Mbappé - 25,Keylor Navas
5,6,Milan,ITA,1,37,25,8,4,66,31,35,83,2.24,60.0,34.4,25.6,0.69,W W W W W,42388,Rafael Leão - 11,Mike Maignan
6,7,Inter,ITA,2,37,24,9,4,81,32,49,81,2.19,78.1,38.2,39.9,1.08,W L W W W,41995,Lautaro Martínez - 21,Samir Handanovi?
7,8,Napoli,ITA,3,37,23,7,7,71,31,40,76,2.05,58.5,29.9,28.6,0.77,D L W W W,26681,Victor Osimhen - 14,David Ospina
8,9,Dortmund,GER,2,34,22,3,9,85,52,33,69,2.03,62.8,43.2,19.6,0.58,W L L W W,41800,Erling Haaland - 22,Gregor Kobel
9,10,Barcelona,ESP,2,37,21,10,6,68,36,32,73,1.97,61.3,35.2,26.1,0.71,L W W W D,53933,Memphis Depay - 12,Marc-André ter Stegen
10,11,Chelsea,ENG,3,37,20,11,6,74,32,42,71,1.92,64.8,34.9,29.9,0.81,D L D W D,36685,Mason Mount - 11,Edouard Mendy
11,12,Juventus,ITA,4,37,20,10,7,57,35,22,70,1.89,51.4,36.5,14.9,0.4,D W W L D,21627,Paulo Dybala - 10,Wojciech Szcz?sny
12,13,Leverkusen,GER,3,34,19,7,8,80,47,33,64,1.88,63.3,43.1,20.2,0.59,L W W W W,17356,Patrik Schick - 24,Luká Hrádeck?
13,14,Monaco,FRA,2,37,20,8,9,63,38,25,68,1.84,56.8,39.7,17.1,0.46,W W W W W,5870,Wissam Ben Yedder - 24,Alexander Nübel
14,15,Tottenham,ENG,4,37,21,5,11,64,40,24,68,1.84,61.5,39.0,22.5,0.61,D W D W W,56523,Son Heung-min - 21,Hugo Lloris
15,16,Marseille,FRA,3,37,20,8,9,59,38,21,68,1.84,56.6,39.2,17.4,0.47,W W L W L,51082,Dimitri Payet - 12,Pau López
16,17,Atlético Madrid,ESP,3,37,20,8,9,63,42,21,68,1.84,52.0,31.4,20.6,0.56,D L W W D,48039,Ángel Correa Luis Suárez - 11,Jan Oblak
17,18,Sevilla,ESP,4,37,17,16,4,52,30,22,67,1.81,42.5,37.8,4.7,0.13,W D D D D,29669,Rafa Mir - 9,Yassine Bounou
18,19,Arsenal,ENG,5,37,21,3,13,56,47,9,66,1.78,56.8,46.0,10.8,0.29,W W W L L,59636,Bukayo Saka - 11,Aaron Ramsdale
19,20,Rennes,FRA,4,37,20,5,12,80,38,42,65,1.76,61.2,39.2,22.0,0.6,L W W L W,25309,Martin Terrier - 21,Alfred Gomis
20,21,RB Leipzig,GER,4,34,17,7,10,72,37,35,58,1.71,63.4,41.8,21.6,0.64,W L L W D,22124,Christopher Nkunku - 20,Péter Gulácsi
21,22,Betis,ESP,5,38,19,8,11,62,40,22,65,1.71,55.1,44.2,10.9,0.29,D L W W D,41749,Juanmi - 16,Rui Silva
22,23,Strasbourg,FRA,5,37,17,12,8,60,39,21,63,1.7,58.5,39.9,18.5,0.5,W L D W W,23462,Ludovic Ajorque - 12,Matz Sels
23,24,Lazio,ITA,6,37,18,9,10,74,55,19,63,1.7,53.4,46.7,6.8,0.18,D L W W D,21235,Ciro Immobile - 27,Thomas Strakosha
24,25,Nice,FRA,6,37,19,7,11,49,34,15,63,1.7,55.1,44.4,10.6,0.29,L W W W L,15478,Andy Delort - 13,Walter Benítez
25,26,Union Berlin,GER,5,34,16,9,9,50,44,6,57,1.68,50.5,41.6,8.8,0.26,W W D W W,14046,Taiwo Awoniyi - 15,Andreas Luthe
26,27,Real Sociedad,ESP,6,37,17,11,9,39,35,4,62,1.68,51.5,38.9,12.5,0.34,L D L W W,26992,Mikel Oyarzabal - 9,Álex Remiro
27,28,Roma,ITA,5,38,18,9,11,59,43,16,63,1.66,63.7,38.5,25.2,0.66,L D L D W,40745,Tammy Abraham - 17,Rui Patrício
28,29,Lens,FRA,7,37,17,10,10,60,46,14,61,1.65,50.5,41.2,9.3,0.25,W D D W W,28460,Arnaud Kalimuendo - 12,Jean-Louis Leca
29,30,Freiburg,GER,6,34,15,10,9,58,46,12,55,1.62,49.9,45.1,4.8,0.14,W D W L L,18741,Vincenzo Grifo - 9,Mark Flekken
30,31,Atalanta,ITA,8,37,16,11,10,65,47,18,59,1.59,62.4,44.8,17.6,0.48,W D D W L,10047,Mario Paali? - 13,Juan Musso
31,32,Fiorentina,ITA,7,37,18,5,14,57,51,6,59,1.59,57.2,44.0,13.3,0.36,L L L W L,19801,Duan Vlahovi? - 17,Pietro Terracciano
32,33,Lyon,FRA,8,37,16,11,10,64,50,14,58,1.57,68.3,52.4,15.9,0.43,L W W L W,31103,Moussa Dembélé - 20,Anthony Lopes
33,34,Manchester Utd,ENG,6,37,16,10,11,57,56,1,58,1.57,54.0,54.1,-0.1,0.0,L L D W L,73150,Cristiano Ronaldo - 18,David de Gea
